Date,Symbol1,Symbol2,Expiry1,Expiry2,DTE1,DTE2,VX1,VX2,Return1,Return2,Dist1,Dist2,W,VX30,VX30r,VX1r,VIX,VIX3M,VVIX,VX30_Premium,VIX_Basis,VX_Basis,logVVIX,logVIX,Return,Volatility,VX30_Premium_zscore,VIX_Basis_zscore,VX_Basis_zscore,Forecast,Exposure,PositionOptimal
2020-08-03,VIQ20,VIU20,2020-08-19,2020-09-16,15,43,26.775,29.375,-0.0018656721829497342,-0.008474626990972232,15,13,0.4642857142857143,28.167857142857144,-0.0054061836872475,-0.0018656721829497342,24.280001,29.66,111.019997,-0.05161782648104472,0.200146329332328,0.09267535613051066,4.709710338239857,3.189653007377458,-0.0018656721829497342,0.8006294665565489,-0.42173671354976766,1.116440657832156,0.6855695149291471,-1,2498.034463560103,-93.29727221512991
2020-07-31,VIQ20,VIU20,2020-08-19,2020-09-16,18,46,26.825,29.625,-0.012963144490510985,-0.006728368528684532,12,16,0.5714285714285714,28.025,-0.01029109764972822,-0.012963144490510985,24.459999,29.709999,112.040001,-0.05838668685759143,0.19444456643986383,0.09928431093853304,4.718855959317292,3.197039089375951,-0.012963144490510985,0.8162951194126212,-0.6258348398198127,1.0744717292991086,0.763852571334902,-1,2450.0942764905094,-91.33622652341136
2020-07-30,VIQ20,VIU20,2020-08-19,2020-09-16,19,47,27.175,29.825,0.01482881667346084,0.011804521560545182,11,17,0.6071428571428571,28.21607142857143,0.013640700736243974,0.01482881667346084,24.76,29.76,112.160004,-0.05327348554258709,0.18393576214849575,0.09304953497670669,4.719926458949617,3.2092294478163956,0.01482881667346084,0.8311076848926617,-0.4782815363685105,0.9882081750459555,0.6958342589946296,-1,2406.427032687469,-88.5529726839915
2020-07-29,VIQ20,VIU20,2020-08-19,2020-09-16,20,48,26.775,29.475,-0.027626066274931152,-0.013479563828240105,10,18,0.6428571428571429,27.739285714285714,-0.022573743972541492,-0.027626066274931152,24.1,29.290001,110.949997,-0.05439652973058897,0.19503435448437734,0.09607383008962224,4.709079622339396,3.1822118404966093,-0.027626066274931152,0.845975927111811,-0.5161041510528724,1.0913823000069822,0.7303441224612071,-1,2364.1334651543384,-88.29630121958314
2020-07-28,VIQ20,VIU20,2020-08-19,2020-09-16,21,49,27.525,29.875,0,-0.0016722411923621062,9,19,0.6785714285714286,28.28035714285714,-5.375060975449627e-4,0,25.440001,30.1,113.879997,-0.06235770199229918,0.16820239397473333,0.08192732764293122,4.735145236066317,3.2363227777800967,0,0.8574458952048364,-0.756892244938545,0.8538625442650121,0.5711760928530093,-1,2332.5086879356013,-84.74146005215627
2020-07-27,VIQ20,VIU20,2020-08-19,2020-09-16,22,50,27.525,29.925,-0.04267314112607582,-0.01985176855273147,8,20,0.7142857142857143,28.210714285714282,-0.03615274896226315,-0.04267314112607582,24.74,30,112.709999,-0.06149553666698597,0.1927760146978137,0.08359956883529335,4.72481813938166,3.208421366964342,-0.04267314112607582,0.8747419083955145,-0.7376957903610614,1.0724307596468996,0.5891195691369983,-1,2286.3886831128025,-83.06589221118266
2020-07-24,VIQ20,VIU20,2020-08-19,2020-09-16,25,53,28.725,30.525,-0.0017391308731268757,0.00822373055761244,5,23,0.8214285714285714,29.04642857142857,3.9951525219430756e-5,-0.0017391308731268757,25.84,30.559999,117.220001,-0.05079639657828062,0.16776825266140497,0.06077819626194887,4.76405251957925,3.2519236789144013,-0.0017391308731268757,0.8801655745367913,-0.42696445654509035,0.8503252088178308,0.3318093385991666,-1,2272.299732982114,-79.10529966865496
2020-07-23,VIQ20,VIU20,2020-08-19,2020-09-16,26,54,28.775,30.275,0.05445343349869313,0.038725377553291265,4,24,0.8571428571428571,28.989285714285714,0.05220656836363572,0.05445343349869313,26.08,30.25,116.699997,-0.04256988088492436,0.1483274474183984,0.050815334831209674,4.759606513585569,3.261168737058452,0.05445343349869313,0.898168750493884,-0.18892533682309026,0.6750456271686007,0.21800582011850475,-1,2226.7530449041365,-77.38498852838008
2020-07-22,VIQ20,VIU20,2020-08-19,2020-09-16,27,55,27.25,29.125,-0.020881376052355474,-0.0068434826536744545,3,25,0.8928571428571429,27.450892857142858,-0.019377316045353934,-0.020881376052355474,24.32,29.049999,112.839996,-0.056619754776081874,0.1777193917765454,0.06654339077661148,4.725970850685372,3.1912990570979662,-0.020881376052355474,0.8972484102127358,-0.6074921538795338,0.9368751579293112,0.3928337439778761,-1,2229.0371063748153,-81.79952683944276
2020-07-21,VIN20,VIQ20,2020-07-22,2020-08-19,0,28,24.775,27.825,0.002020202707275802,0.010840214552864807,30,2,0.0625,27.634375,0.010288963812515494,0.002020202707275802,24.84,29.469999,115.459999,-0.064312294034827,0.17091750575151185,0.11609981694555696,4.74892414097178,3.212455257065278,0.002020202707275802,0.9129905473866902,-0.8391381446499402,0.8785948888320085,0.9486965559657502,-1,2190.6031839264106,-88.4199065156977
2020-07-20,VIN20,VIQ20,2020-07-22,2020-08-19,1,29,24.725,27.525,-0.06649565424752546,-0.05133870661707189,29,1,0.03333333333333333,27.431666666666665,-0.05184393820475368,-0.06649565424752546,24.459999,29.1,112.510002,-0.059040110349525304,0.17369908480149573,0.10727980509996773,4.7230421243591785,3.197039089375951,-0.06649565424752546,0.9320082235678648,-0.6904863964775276,0.9074275156429598,0.8539691234384139,-1,2145.9038122471766,-86.79085186035091
2020-07-17,VIN20,VIQ20,2020-07-22,2020-08-19,4,32,26.425,28.975,-0.062348328768282835,-0.04388890021334042,26,2,0.07142857142857142,28.792857142857144,-0.045207430824407736,-0.062348328768282835,25.68,30.370001,117.970001,-0.053327971477026045,0.16774283316312716,0.092122857469514,4.770430363330482,3.2457124788217606,-0.062348328768282835,0.9240107468194528,-0.5274279544122698,0.8560649533710721,0.686133119650483,-1,2164.476989996297,-81.91019829692704
